,accuracy,recall,precision,f1_score
0,0.9995779106577559,0.8529411764705882,0.9666666666666667,0.90625
0,0.9993668659866338,0.8043478260869565,1.0,0.891566265060241
0,0.9995075277895034,0.8571428571428571,1.0,0.923076923076923
0,0.9995778809624314,0.8723404255319149,1.0,0.9318181818181819
0,0.999296468270719,0.782608695652174,1.0,0.878048780487805
0,0.9994371746165752,0.8541666666666666,0.9761904761904762,0.9111111111111111
0,0.9995075277895034,0.8108108108108109,1.0,0.8955223880597014
0,0.9991557619248628,0.6923076923076923,1.0,0.8181818181818181
0,0.9990854087519347,0.7291666666666666,1.0,0.8433734939759037
0,0.9989447024060785,0.6875,1.0,0.8148148148148148
